occupation,family_history,treatment,days_indoors,growing_stress,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,percentage
Housewife,-1,-1,1-14 days,0,0,-1,-1,-1,-1,0.18177892618104066
Housewife,1,1,1-14 days,0,0,-1,-1,-1,-1,0.1037741762489466
Others,-1,-1,1-14 days,0,1,0,-1,1,0,0.09924711486895899
Business,-1,-1,Go out Every day,0,1,-1,1,-1,-1,0.09924711486895899
Housewife,-1,-1,Go out Every day,-1,-1,1,-1,0,1,0.09924711486895899
Others,-1,-1,31-60 days,-1,0,-1,1,1,1,0.09924711486895899
Corporate,-1,-1,More than 2 months,0,0,0,-1,-1,-1,0.09924711486895899
Others,-1,-1,31-60 days,0,0,-1,1,-1,-1,0.09924711486895899
Housewife,-1,-1,15-30 days,1,-1,-1,-1,-1,1,0.09924711486895899
Housewife,-1,-1,Go out Every day,-1,-1,-1,1,1,0,0.09924711486895899
Student,-1,-1,Go out Every day,1,-1,1,-1,1,-1,0.09924711486895899
Others,-1,-1,Go out Every day,0,1,1,1,-1,-1,0.09924711486895899
Corporate,-1,-1,31-60 days,0,-1,0,-1,-1,1,0.09924711486895899
Corporate,-1,-1,31-60 days,1,0,1,-1,-1,0,0.09924711486895899
Student,-1,-1,More than 2 months,0,-1,0,1,1,-1,0.09924711486895899
Student,-1,-1,15-30 days,-1,0,-1,-1,0,1,0.09924711486895899
Student,-1,-1,31-60 days,-1,1,-1,-1,1,0,0.09924711486895899
Corporate,-1,-1,31-60 days,1,1,-1,-1,-1,1,0.09924711486895899
Housewife,-1,1,1-14 days,0,0,-1,-1,-1,-1,0.09193416956282517
Student,-1,-1,Go out Every day,1,-1,0,-1,0,0,0.09088946309052033
Housewife,-1,-1,15-30 days,-1,1,1,-1,0,-1,0.09088946309052033
Business,-1,-1,More than 2 months,0,1,0,1,1,-1,0.09088946309052033
Business,-1,-1,More than 2 months,0,1,0,1,1,0,0.09088946309052033
Business,-1,-1,More than 2 months,1,-1,0,1,0,1,0.09088946309052033
Business,-1,-1,More than 2 months,1,0,-1,1,0,1,0.09088946309052033
Business,-1,-1,More than 2 months,1,0,0,-1,0,0,0.09088946309052033
Business,-1,-1,More than 2 months,1,0,0,-1,0,1,0.09088946309052033
Business,-1,-1,More than 2 months,1,0,0,-1,1,0,0.09088946309052033
Business,-1,-1,More than 2 months,1,1,0,1,1,0,0.09088946309052033
Student,-1,-1,More than 2 months,-1,1,-1,1,-1,0,0.09088946309052033
Student,-1,-1,More than 2 months,1,1,1,1,-1,0,0.09088946309052033
Student,-1,-1,More than 2 months,1,0,1,-1,1,1,0.09088946309052033
Student,-1,-1,More than 2 months,1,-1,1,1,-1,0,0.09088946309052033
Student,-1,-1,More than 2 months,1,-1,0,1,0,0,0.09088946309052033
Student,-1,-1,More than 2 months,0,1,1,1,0,-1,0.09088946309052033
Student,-1,-1,More than 2 months,0,1,-1,-1,1,1,0.09088946309052033
Student,-1,-1,More than 2 months,0,0,-1,-1,0,0,0.09088946309052033
Student,-1,-1,More than 2 months,0,-1,-1,-1,1,-1,0.09088946309052033
Student,-1,-1,More than 2 months,-1,1,1,-1,0,-1,0.09088946309052033
Business,-1,-1,More than 2 months,0,0,0,-1,1,-1,0.09088946309052033
Student,-1,-1,Go out Every day,1,0,1,1,0,1,0.09088946309052033
Student,-1,-1,31-60 days,1,-1,1,1,-1,1,0.09088946309052033
Student,-1,-1,31-60 days,1,-1,-1,1,0,0,0.09088946309052033
Student,-1,-1,Go out Every day,1,-1,0,1,0,1,0.09088946309052033
Business,-1,-1,More than 2 months,0,0,-1,-1,0,-1,0.09088946309052033
Student,-1,-1,Go out Every day,0,0,-1,1,1,1,0.09088946309052033
Student,-1,-1,Go out Every day,0,-1,1,1,0,-1,0.09088946309052033
Student,-1,-1,Go out Every day,0,-1,1,-1,-1,-1,0.09088946309052033
Student,-1,-1,Go out Every day,0,-1,-1,-1,1,1,0.09088946309052033
Student,-1,-1,Go out Every day,-1,1,0,-1,1,0,0.09088946309052033
Student,-1,-1,31-60 days,1,1,0,-1,1,-1,0.09088946309052033
Student,-1,-1,31-60 days,1,1,-1,-1,0,-1,0.09088946309052033
Student,-1,-1,31-60 days,1,0,1,-1,-1,0,0.09088946309052033
Student,-1,-1,31-60 days,1,0,0,-1,1,1,0.09088946309052033
Student,-1,-1,31-60 days,1,0,-1,-1,-1,1,0.09088946309052033
Student,-1,-1,31-60 days,1,-1,1,1,1,0,0.09088946309052033
Student,-1,-1,Go out Every day,0,0,1,1,-1,0,0.09088946309052033
Student,-1,-1,More than 2 months,-1,-1,-1,1,-1,-1,0.09088946309052033
Student,-1,-1,31-60 days,1,-1,-1,-1,-1,-1,0.09088946309052033
Student,-1,-1,31-60 days,0,1,-1,1,0,1,0.09088946309052033
Student,-1,-1,31-60 days,0,0,1,1,-1,0,0.09088946309052033
Student,-1,-1,31-60 days,0,-1,1,1,0,0,0.09088946309052033
Student,-1,-1,31-60 days,0,-1,0,1,1,1,0.09088946309052033
Student,-1,-1,More than 2 months,-1,0,1,1,0,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,0,-1,0,-1,0.09088946309052033
Student,-1,-1,More than 2 months,-1,-1,1,-1,-1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,-1,-1,0,1,0.09088946309052033
Housewife,-1,-1,15-30 days,1,1,0,-1,0,-1,0.09088946309052033
Corporate,-1,-1,1-14 days,1,1,-1,-1,1,1,0.09088946309052033
Corporate,-1,-1,1-14 days,1,1,0,1,0,0,0.09088946309052033
Corporate,-1,-1,15-30 days,-1,-1,0,-1,0,0,0.09088946309052033
Corporate,-1,-1,15-30 days,-1,-1,1,-1,-1,-1,0.09088946309052033
Corporate,-1,-1,15-30 days,-1,-1,1,-1,0,0,0.09088946309052033
Corporate,-1,-1,1-14 days,0,-1,1,-1,1,-1,0.09088946309052033
Corporate,-1,-1,15-30 days,-1,0,0,-1,0,-1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,0,1,0,0,0.09088946309052033
Housewife,-1,-1,1-14 days,0,-1,-1,-1,0,-1,0.09088946309052033
Student,-1,-1,Go out Every day,1,-1,1,1,-1,0,0.09088946309052033
Student,-1,-1,More than 2 months,1,1,-1,1,0,-1,0.09088946309052033
Housewife,-1,-1,15-30 days,1,-1,0,-1,0,1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,1,0,-1,1,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,1,-1,-1,-1,-1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,1,-1,1,1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,1,-1,-1,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,0,-1,0,1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,-1,-1,1,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,-1,-1,0,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,-1,-1,1,0,1,0.09088946309052033
Corporate,-1,-1,1-14 days,1,0,1,1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,1,0,-1,1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,1,-1,0,-1,1,-1,0.09088946309052033
Corporate,-1,-1,1-14 days,1,-1,-1,-1,0,-1,0.09088946309052033
Others,-1,-1,1-14 days,0,1,-1,-1,1,0,0.09088946309052033
Others,-1,-1,More than 2 months,1,0,-1,1,1,-1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,0,-1,-1,-1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,-1,1,-1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,1,1,1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,1,1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,-1,-1,1,1,1,0.09088946309052033
Student,-1,-1,Go out Every day,0,1,1,-1,0,0,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,-1,-1,-1,1,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,-1,0,1,1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,0,-1,-1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,1,0,-1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,1,0,1,1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,0,1,-1,-1,0.09088946309052033
Student,-1,-1,More than 2 months,1,1,0,1,1,0,0.09088946309052033
